time_s,source_time_s,stimulus,fit_mask,WT_mean,WT_SE,KD_mean,KD_SE,WT_model,KD_model
2.933333333333333,2.93,0.0,1,0.0158443571428571,0.00581635759440671,0.00424677777777778,0.0155153199100274,0.0,0.0
2.966666666666667,2.97,0.0,1,0.0161732857142857,0.00571526658490903,0.00321774444444444,0.0136630889148781,0.0,0.0
3.0,3.0,0.0,1,0.021391,0.00615328157959655,0.00756233333333333,0.0183139731891314,0.0,0.0
3.033333333333333,3.03,0.0,1,0.0205513571428571,0.00550899025929449,0.00957866666666667,0.0191109189942701,0.0,0.0
3.0666666666666664,3.07,0.0,1,0.0166912857142857,0.00580521838703705,-0.000426333333333334,0.0230093306369636,0.0,0.0
3.1,3.1,0.0,1,0.0125925,0.00611448016870743,-0.00464888888888889,0.0186334937302611,0.0,0.0
3.1333333333333333,3.13,0.0,1,0.013715,0.00576201379632251,0.00201922222222222,0.0174194436213434,0.0,0.0
3.1666666666666665,3.17,0.0,1,0.0122413571428571,0.00575125706622793,-0.000735222222222221,0.0173895435749138,0.0,0.0
3.2,3.2,0.0,1,0.0111472142857143,0.00585222364160948,0.00630444444444444,0.0204394639186272,0.0,0.0
3.2333333333333334,3.23,0.0,1,0.0117304285714286,0.0065539987766167,-0.000697111111111109,0.0189426661368841,0.0,0.0
3.2666666666666666,3.27,0.0,1,0.00879485714285714,0.00589669089811232,-0.00381422222222222,0.0149371150557352,0.0,0.0
3.3,3.3,0.0,1,0.00949542857142857,0.00579264317310554,-0.00530144444444445,0.0134486095451363,0.0,0.0
3.3333333333333335,3.33,0.0,1,0.014464,0.00529539078345032,0.00205955555555555,0.0193290525362091,0.0,0.0
3.3666666666666667,3.37,0.0,1,0.0155073571428571,0.00453608603810967,0.0111854444444444,0.0205414885145156,0.0,0.0
3.4,3.4,0.0,1,0.0161483571428571,0.00490821343988901,0.01718,0.0234726253295432,0.0,0.0
3.433333333333333,3.43,0.0,1,0.0127784285714286,0.00435492790305607,0.0115433333333333,0.0202169788221298,0.0,0.0
3.466666666666667,3.47,0.0,1,0.018521,0.00538916050874447,0.00970355555555556,0.0211630590364641,0.0,0.0
