protocol,pathway,test,sample,time_s,kc_class,d,n,D,N,weight
fig6_1x10s,no_only,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,no_only,1,end,900.0,a_only,0.0,0.14785621103378865,0.0,0.11109794889183053,1.1110979488918304
fig6_1x10s,no_only,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,no_only,1,end,900.0,shared,0.0,0.14785621103378865,0.0,0.11109794889183053,1.1110979488918304
fig6_1x10s,no_only,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,start,840.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,start,840.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,last_30s_start,870.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,last_30s_start,870.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,end,900.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,end,900.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,neither,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,both,1,start,840.0,a_only,0.9864314409877991,0.6171071140248879,0.986431440979205,0.44162059644801344,0.01956071414849858
fig6_1x60s,both,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,both,1,start,840.0,shared,0.9864314409877991,0.6171071140248879,0.986431440979205,0.44162059644801344,0.01956071414849858
fig6_1x60s,both,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,both,1,last_30s_start,870.0,a_only,0.9864314409877991,0.6171071140248879,0.9864314409846375,0.4501791749026032,0.019676841717515624
fig6_1x60s,both,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,both,1,last_30s_start,870.0,shared,0.9864314409877991,0.6171071140248879,0.9864314409846375,0.4501791749026032,0.019676841717515624
fig6_1x60s,both,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,both,1,end,900.0,a_only,0.9864314409877991,0.6171071140248879,0.986431440986636,0.4583203465605068,0.019787305682695613
fig6_1x60s,both,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,both,1,end,900.0,shared,0.9864314409877991,0.6171071140248879,0.986431440986636,0.4583203465605068,0.019787305682695613
fig6_1x60s,both,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,da_only,1,start,840.0,a_only,0.9864314409877991,0.0,0.986431440979205,0.0,0.013568559020795012
fig6_1x60s,da_only,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
