body_id,graph_index,type,instance,kc_family,home_eligible_edges,away_eligible_edges,raw_events_across_32_histories,weighted_event_mass_across_32_histories,minimum_recorded_susceptibility,original_home_gain_sum_across_32_histories,candidate_home_gain_sum_across_32_histories
37860,24943,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,0,0.0,1.0,0.0,0.0
37904,24982,KCa'b'-ap1,KCa'b'-ap1_R,apbp,1,0,0,0.0,1.0,0.0,0.0
37916,24994,KCg-m,KCg-m_L,gamma,1,2,1,1.0,0.43906784146748656,0.0014734268188476562,0.0014734268188476562
38113,25169,KCg-m,KCg-m_L,gamma,1,2,73,71.5890625364147,0.0,0.0019486546516418457,0.0002117753028869629
38121,25176,KCa'b'-ap1,KCa'b'-ap1_R,apbp,2,0,0,0.0,1.0,0.0,0.0
38528,25535,KCa'b'-ap1,KCa'b'-ap1_R,apbp,1,0,54,53.538686196458194,0.6622404887881765,-0.0057373046875,-0.006484806537628174
38549,25552,KCg-m,KCg-m_L,gamma,1,2,62,61.052406103156386,0.0,-0.0066945552825927734,-0.007815659046173096
38657,25649,KCg-d,KCg-d_R,gamma,1,3,5,4.910535916648655,0.711968020494551,0.0013248920440673828,0.0012355446815490723
38684,25671,KCa'b'-ap1,KCa'b'-ap1_L,apbp,1,0,0,0.0,1.0,0.0,0.0
38746,25725,KCa'b'-ap2,KCa'b'-ap2_L,apbp,0,0,0,0.0,1.0,0.0,0.0
38774,25752,KCa'b'-ap1,KCa'b'-ap1_R,apbp,0,0,0,0.0,1.0,0.0,0.0
38934,25897,KCa'b'-ap2,KCa'b'-ap2_R,apbp,0,0,0,0.0,1.0,0.0,0.0
38962,25920,KCg-m,KCg-m_L,gamma,1,2,1,1.0,0.10526087710948318,-0.0016356110572814941,-0.0016356110572814941
38967,25924,KCg-m,KCg-m_R,gamma,1,2,92,89.59382321335049,0.0,-0.008712351322174072,-0.011993467807769775
39205,26127,KCa'b'-ap1,KCa'b'-ap1_R,apbp,1,0,4,3.993513090431513,0.5537844495444131,-0.004247486591339111,-0.0042411088943481445
39316,26229,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
39456,26352,KCa'b'-ap2,KCa'b'-ap2_L,apbp,1,0,0,0.0,1.0,0.0,0.0
39531,26421,KCg-m,KCg-m_L,gamma,1,2,65,63.50234290091128,0.0,-0.013666331768035889,-0.015645980834960938
39569,26458,KCg-m,KCg-m_R,gamma,1,2,130,126.54674345892039,0.0,-0.0004134178161621094,-0.005175113677978516
39655,26537,KCa'b'-ap1,KCa'b'-ap1_R,apbp,1,0,0,0.0,1.0,0.0,0.0
39771,26643,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
39909,26762,KCg-m,KCg-m_R,gamma,1,2,50,49.0649628422886,0.0,0.003949880599975586,0.0028228163719177246
40027,26866,KCg-d,KCg-d_L,gamma,1,2,17,16.994105280395175,0.8556682317471751,-0.013950645923614502,-0.013942241668701172
40066,26895,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,15,14.909914183907455,0.4071175815914667,-0.006206631660461426,-0.006253480911254883
40327,27124,KCg-m,KCg-m_R,gamma,1,2,57,55.15945167517936,0.0,-0.010881960391998291,-0.012514591217041016
40376,27169,KCg-m,KCg-m_R,gamma,1,2,176,172.65231890901623,0.20153344274639523,-0.007553219795227051,-0.010874271392822266
40602,27366,KCg-m,KCg-m_R,gamma,1,2,54,52.47520021686687,0.0,-0.005840301513671875,-0.007743179798126221
40615,27377,KCa'b'-ap1,KCa'b'-ap1_R,apbp,1,0,15,14.924652622800625,0.4488132749015072,-0.003594040870666504,-0.003668487071990967
40788,27534,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,5,4.991137666611589,0.6642433207698338,0.0004189014434814453,0.0004277825355529785
40821,27565,KCg,KCg_L,gamma,1,2,0,0.0,1.0,0.0,0.0
40921,27658,KCg-m,KCg-m_R,gamma,1,2,15,14.352289216545374,0.0,0.0012789368629455566,0.0001685023307800293
41131,27845,KCg-m,KCg-m_L,gamma,1,2,21,20.508934950006278,0.0,-0.004828512668609619,-0.005434811115264893
41134,27848,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
41150,27862,KCg-m,KCg-m_R,gamma,1,2,0,0.0,1.0,0.0,0.0
41232,27933,KCg-m,KCg-m_R,gamma,1,2,0,0.0,1.0,0.0,0.0
41295,27986,KCg-m,KCg-m_R,gamma,1,2,24,23.209997928463395,0.0,-0.0035483837127685547,-0.004547476768493652
41378,28061,KCg-m,KCg-m_R,gamma,1,2,65,63.09903289265995,0.0,0.01047825813293457,0.0078810453414917
41406,28085,KCab-c,KCab-c_R,ab,1,0,0,0.0,1.0,0.0,0.0
41480,28152,KCa'b'-m,KCa'b'-m_L,apbp,2,0,0,0.0,1.0,0.0,0.0
41509,28176,KCa'b'-ap2,KCa'b'-ap2_L,apbp,0,0,0,0.0,1.0,0.0,0.0
41555,28217,KCa'b'-ap1,KCa'b'-ap1_L,apbp,1,0,4,3.9683302282693766,0.9291107784241931,0.0013025999069213867,0.0012631416320800781
41602,28258,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,0,0.0,1.0,0.0,0.0
41645,28296,KCa'b'-ap2,KCa'b'-ap2_R,apbp,0,0,3,3.0,0.5061452233142935,0.0,0.0
41787,28418,KCg-m,KCg-m_R,gamma,1,3,117,113.99777741710878,0.0,-0.014771759510040283,-0.018404126167297363
41793,28423,KCa'b'-ap2,KCa'b'-ap2_L,apbp,0,0,19,18.980991081313586,0.8690978320105454,0.0,0.0
41807,28436,KCg-m,KCg-m_R,gamma,1,2,0,0.0,1.0,0.0,0.0
41891,28511,KCg-m,KCg-m_R,gamma,1,2,120,117.98139176524738,0.0,-0.008011579513549805,-0.009700298309326172
41899,28518,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,0,0.0,1.0,0.0,0.0
41920,28537,KCg-m,KCg-m_L,gamma,1,2,53,51.80468458469321,0.0,0.0004425644874572754,-0.001017928123474121
41968,28576,KCa'b'-ap1,KCa'b'-ap1_R,apbp,0,0,0,0.0,1.0,0.0,0.0
